Segment,Sex,#,city,run_frequency,where_run_1,where_run_2,where_run_3,where_run_4,running_experience,why_run_1,why_run_2,why_run_3,why_run_4,why_run_5,why_run_6,why_run_7,why_run_8,why_run_9,why_run_10,why_run_11,why_run_12,why_run_13,why_run_14,why_run_15,interest_buy_shoes_1,interest_buy_shoes_2,interest_buy_shoes_3,interest_buy_shoes_4,interest_buy_shoes_5,interest_buy_shoes_6,type_shoes,three_words_1,three_words_2,three_words_3,expected_spending,difference_easy_to_tell,difference_running_shoes_trainers_1,difference_running_shoes_trainers_2,difference_running_shoes_trainers_3,difference_running_shoes_trainers_4,difference_running_shoes_trainers_5,difference_running_shoes_trainers_6,difference_running_shoes_trainers_7,difference_running_shoes_trainers_8,confidence_right_shoes,more_confident_if_1,more_confident_if_2,more_confident_if_3,more_confident_if_4,more_confident_if_5,more_confident_if_6,more_confident_if_7,more_confident_if_8,more_confident_if_9,more_confident_if_10,know_which_features, most_important_choosing_1, most_important_choosing_2, most_important_choosing_3, most_important_choosing_4, most_important_choosing_5, most_important_choosing_6, most_important_choosing_7, most_important_choosing_8, most_important_choosing_9, most_important_choosing_10, most_important_choosing_11,too_expensive,is_a_hassle,need_expert_advice,benefits_over_trainers,thanks,Score,Start Date (UTC),Submit Date (UTC),Network ID
Young Professional,Male,pt154ul32tyvowkzopt15zjfpxuoq3wg,Cergy,3 to 4 times a week,Sports Hall,,,Track,Intermediate,It helps me keep my mind and body in shape.,This helps me to avoid getting sick and staying healthy.,,,"This helps me to focus on my diet, my nutrition and my hydration.",,,This helps me to improve my physical appearance.,,,,,,,I like to improve myself and learn new skills.,"I want to improve my performance (eg. Speed, distance, endurance).",,I need to replace old shoes.,,,,Running Shoes,Propulsion,Durability,And,Between 100 and 150 €,Agree,Design / Style,,Durability,Technology,,,,,Totally Agree,I saw a respected professional adopt the,,,,It was clear that they corresponded best to my needs,,,,I knew they were best suited to help me achieve my goals,,Totally Agree,,,,Shock absorption,Lightness,,,Price,,,,Agree,Agree,Neither agree nor disagree,Agree,1,0,24/02/2020 16:24,24/02/2020 16:30,be46f50c5b
Young Professional,Male,8y498euqmp61g6u8y498ef7sfkv7wcm5,Fouesnant,I do not practice running,Sports Hall,Road,,,Beginner,It helps me keep my mind and body in shape.,,,,,,,This helps me to improve my physical appearance.,,,I love discovering new environments.,This allows me to spend time with friends.,,,,,I plan to run more often.,,,,,Running Shoes,Comfortable,Flexible,Light,Between 50 and 100 €,Agree,,,,Technology,Footwear / Comfort,,"Benefits (eg. Speed, movement and comfort)",,Disagree,,,I knew other people like me had bought them,,It was clear that they corresponded best to my needs,,,,I knew they were best suited to help me achieve my goals,,Disagree,,Protection against injuries,Durability,Shock absorption,,,,,,,,Neither agree nor disagree,Neither agree nor disagree,Totally Agree,Disagree,0,0,24/02/2020 15:27,24/02/2020 15:34,5dc99b2818
Young Professional,Male,hggf8fkbiubhpn75rhgg8kwbwb7ewhc6,Dainville,1 to 2 times per week,,Road,,,Beginner,It helps me keep my mind and body in shape.,,,,,,,,,,,,,,,,I plan to run more often.,,,,,Running Shoes,Lightweight,,,Between 50 and 100 €,Disagree,,,,Technology,,,,,Neither agree nor disagree,I saw a respected professional adopt the,,,,It was clear that they corresponded best to my needs,,I knew they were the most comfortable / provided the best footwear,,,,Disagree,,Protection against injuries,,,,Maintenance / anti-pronation,,,Fit and comfort,,,Disagree,Neither agree nor disagree,Totally Agree,Neither agree nor disagree,1,0,24/02/2020 14:26,24/02/2020 14:30,f3e8e0f917
Young Professional,Male,usrneramvn5vvqjbmikt4n5ujusrnera,Nantes,1 to 2 times per week,,,Trail,,Intermediate,It helps me keep my mind and body in shape.,,,,,,,,,,I love discovering new environments.,,,,I like to improve myself and learn new skills.,,,I need to replace old shoes.,,,,Running Shoes,Sober,,,Between 50 and 100 €,Disagree,Design / Style,,,,,,,,Totally Agree,,,,,It was clear that they corresponded best to my needs,,I knew they were the most comfortable / provided the best footwear,,I knew they were best suited to help me achieve my goals,,Totally Agree,,,Durability,Shock absorption,,,,,,Adaptation to a given surface (eg. Track rather than road),,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,1,0,24/02/2020 13:22,24/02/2020 13:26,a38d52e0a0
Young Professional,Male,o3wmemqa5d0e3fcs8odqqd6o3wmemqa5,villejuif,3 to 4 times a week,,Road,Trail,Track,Advanced,It helps me keep my mind and body in shape.,,I like to measure myself against others.,,,,,,,,,,,,I like to improve myself and learn new skills.,"I want to improve my performance (eg. Speed, distance, endurance).",,,,,,Running Shoes,Amortized,Dynamism,Lightness,Between 100 and 150 €,Totally Agree,,,,Technology,,,,,Totally Agree,,I knew they were good value for money,I knew other people like me had bought them,,It was clear that they corresponded best to my needs,,,,,,Totally Agree,,Protection against injuries,,,Lightness,,Bounce and cushioning,,,,,Disagree,Neither agree nor disagree,Agree,Totally Agree,1,0,24/02/2020 13:20,24/02/2020 13:25,f5ffc026df
Young Professional,Male,i0zyw2p5zs2psbjyxi0zywtd40z80x6b,mont dore,5 times a week or more,,,Trail,,Advanced,,,I like to measure myself against others.,,,,,,,,I love discovering new environments.,,,,,,,I need to replace old shoes.,,,,Running Shoes,Light,Hangs,Reactive,Between 100 and 150 €,Disagree,,,,Technology,Footwear / Comfort,Price,"Benefits (eg. Speed, movement and comfort)",,Totally Agree,,,,I had a positive shopping experience this brand in the past,It was clear that they corresponded best to my needs,,,,I knew they were best suited to help me achieve my goals,,Totally Agree,,,,,Lightness,,,Price,,Adaptation to a given surface (eg. Track rather than road),,Agree,Disagree,not agree at all,Totally Agree,1,0,24/02/2020 11:57,24/02/2020 12:01,c1d8055bbd
Young Professional,Male,lwzam1ctg5rmhas4ylwza18efsnpyhyg,Sainte Anne d'Auray,3 to 4 times a week,,Road,,Track,Intermediate,It helps me keep my mind and body in shape.,This helps me to avoid getting sick and staying healthy.,,,,This helps me feel confident (e) and stronger (e).,,This helps me to improve my physical appearance.,,,,,,,I like to improve myself and learn new skills.,"I want to improve my performance (eg. Speed, distance, endurance).",I plan to run more often.,,,,,Running Shoes,Cushioning,Security,Light,Between 150 and 200 €,Totally Agree,,,,Technology,,Price,"Benefits (eg. Speed, movement and comfort)",,Agree,I saw a respected professional adopt the,,I knew other people like me had bought them,I had a positive shopping experience this brand in the past,,,,,,,Agree,,Protection against injuries,,Shock absorption,,,Bounce and cushioning,,,,,Disagree,Totally Agree,Totally Agree,Totally Agree,1,0,24/02/2020 10:20,24/02/2020 10:25,c9f763275d
Young Professional,Male,kpkgo21e26eszy78164475kpkgo21ovd,Auxerre,Sometimes,,Road,,,Beginner,,,,,,,,This helps me to improve my physical appearance.,,,,,,,,"I want to improve my performance (eg. Speed, distance, endurance).",,,,,,Running Shoes,Solid,Effective,Beautiful,Between 100 and 150 €,Neither agree nor disagree,,,,,,,,I am not sure),Neither agree nor disagree,,,I knew other people like me had bought them,,It was clear that they corresponded best to my needs,,,,I knew they were best suited to help me achieve my goals,,Neither agree nor disagree,,,Durability,Shock absorption,,,Bounce and cushioning,,,,,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,1,0,24/02/2020 07:54,24/02/2020 07:57,6a162dd8cb
Young Professional,Male,hzxv8yvt8iohzpn3yojddgprtm8pn3yo,Amiens,1 to 2 times per week,Sports Hall,Road,,,Intermediate,It helps me keep my mind and body in shape.,,,,,,,,,,,,,,I like to improve myself and learn new skills.,,I plan to run more often.,,,,,Running Shoes,Comfort,Aesthetic,Amortized,Between 100 and 150 €,Totally Agree,Design / Style,,,Technology,Footwear / Comfort,,,,Neither agree nor disagree,,,I knew other people like me had bought them,,It was clear that they corresponded best to my needs,,,,I knew they were best suited to help me achieve my goals,,Neither agree nor disagree,,,,Shock absorption,,,Bounce and cushioning,,,Adaptation to a given surface (eg. Track rather than road),,Agree,Agree,Agree,Agree,1,0,24/02/2020 07:48,24/02/2020 07:53,86f02b56ae
Young Professional,Male,3r1lrgxwvy4yvpzwz3r1lrgvnnyg7vt5,Bondues,3 to 4 times a week,,Road,,,Intermediate,It helps me keep my mind and body in shape.,,,This helps me to improve my sex life.,,This helps me feel confident (e) and stronger (e).,,,,,,,,,,,,I need to replace old shoes.,,,,Running Shoes,Comfortable,Friendly,Prices,Between 100 and 150 €,Neither agree nor disagree,,,Durability,Technology,,,,,Totally Agree,,,,I had a positive shopping experience this brand in the past,It was clear that they corresponded best to my needs,,I knew they were the most comfortable / provided the best footwear,,,,Totally Agree,,,,Shock absorption,,,Bounce and cushioning,,Fit and comfort,,,Agree,Agree,Agree,Disagree,1,0,24/02/2020 07:30,24/02/2020 07:36,76f0351958
Young Professional,Male,j9q152477vcy7k51p61j9q1545xxqunw,Nantes,1 to 2 times per week,,Road,,,Beginner,It helps me keep my mind and body in shape.,This helps me to avoid getting sick and staying healthy.,,,,This helps me feel confident (e) and stronger (e).,,This helps me to improve my physical appearance.,,,,,,,,"I want to improve my performance (eg. Speed, distance, endurance).",,,,"I set myself a goal of health, eg. losing weight.",,Running Shoes,Comfortable,Durable,Protective,Between 50 and 100 €,Disagree,,,,Technology,Footwear / Comfort,,,,Disagree,,I knew they were good value for money,I knew other people like me had bought them,,It was clear that they corresponded best to my needs,,,,,,Disagree,,Protection against injuries,Durability,,,,,Price,,,,Agree,Totally Agree,Agree,Agree,0,0,24/02/2020 06:37,24/02/2020 06:42,145bd27dae
Young Professional,Male,ex9xs9akc2plvv9ltmehex9xsw7w4qy6,Nantes,3 to 4 times a week,,Road,,,Intermediate,It helps me keep my mind and body in shape.,This helps me to avoid getting sick and staying healthy.,,,,This helps me feel confident (e) and stronger (e).,,This helps me to improve my physical appearance.,,,,This allows me to spend time with friends.,,,,,,,,,I want to find the shoe that fits me the most,Running Shoes,Light,Flexible,Resistant,Between 100 and 150 €,Totally Agree,Design / Style,,,,Footwear / Comfort,,,,Totally Agree,,,,,It was clear that they corresponded best to my needs,,I knew they were the most comfortable / provided the best footwear,,I knew they were best suited to help me achieve my goals,,Totally Agree,,,Durability,,Lightness,,,,Fit and comfort,,,Totally Agree,Neither agree nor disagree,not agree at all,Totally Agree,1,0,23/02/2020 23:55,23/02/2020 23:59,fef3f34bef
Young Professional,Male,i8zvf3zcxq1oc7tv9uji8zvfd298rtkp,London,1 to 2 times per week,Sports Hall,Road,,,Beginner,,,I like to measure myself against others.,,,,,,,,,,,,,,,I need to replace old shoes.,,,,Running Shoes,Comfortable,,,Between 100 and 150 €,Agree,,,,Technology,,,"Benefits (eg. Speed, movement and comfort)",,Neither agree nor disagree,I saw a respected professional adopt the,,,I had a positive shopping experience this brand in the past,,,,,I knew they were best suited to help me achieve my goals,,Agree,,Protection against injuries,,,Lightness,,,,Fit and comfort,,,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Totally Agree,0,0,23/02/2020 23:07,23/02/2020 23:12,8eb8fa4c6c
Young Professional,Male,bx9fui87zd2zoctowuzabx92y4998j66,Rennes,3 to 4 times a week,,Road,Trail,,Intermediate,It helps me keep my mind and body in shape.,This helps me to avoid getting sick and staying healthy.,,,"This helps me to focus on my diet, my nutrition and my hydration.",,,,,,,,,,,,,I need to replace old shoes.,I want to race.,"I set myself a goal of health, eg. losing weight.",,Running Shoes,Lightweight,Cushioning,And,Between 100 and 150 €,Disagree,,,,Technology,,Price,,,Totally Agree,,,,I had a positive shopping experience this brand in the past,,,I knew they were the most comfortable / provided the best footwear,,I knew they were best suited to help me achieve my goals,,Totally Agree,,,,,Lightness,,Bounce and cushioning,,,Adaptation to a given surface (eg. Track rather than road),,Neither agree nor disagree,Disagree,Neither agree nor disagree,Totally Agree,1,0,23/02/2020 23:02,23/02/2020 23:06,4e165f5b43
Young Professional,Male,4xv515it3xjxevh7773b4xv515g4k3tc,Bordeaux,Sometimes,,,,Track,Intermediate,It helps me keep my mind and body in shape.,This helps me to avoid getting sick and staying healthy.,,,,This helps me feel confident (e) and stronger (e).,,,,,,,,,,,,I need to replace old shoes.,,,,Running Shoes,Elegant,Comfortable,Light,Between 50 and 100 €,Totally Agree,,,,Technology,Footwear / Comfort,,"Benefits (eg. Speed, movement and comfort)",,Agree,,I knew they were good value for money,,I had a positive shopping experience this brand in the past,It was clear that they corresponded best to my needs,,,,,,Agree,,,,,Lightness,Maintenance / anti-pronation,Bounce and cushioning,,,,,Totally Agree,Agree,Agree,Agree,1,0,23/02/2020 22:34,23/02/2020 22:41,ee86f443c3
Young Professional,Male,wevcss4ut1zljswbasj3wevcsz8b0hy9,Paris,3 to 4 times a week,,Road,,,Intermediate,It helps me keep my mind and body in shape.,,I like to measure myself against others.,,,This helps me feel confident (e) and stronger (e).,,,,,,This allows me to spend time with friends.,,,,"I want to improve my performance (eg. Speed, distance, endurance).",,I need to replace old shoes.,,,,Running Shoes,Comfortable,Soft,Light,Between 100 and 150 €,Totally Agree,Design / Style,,Durability,,Footwear / Comfort,,"Benefits (eg. Speed, movement and comfort)",,Agree,,,,I had a positive shopping experience this brand in the past,It was clear that they corresponded best to my needs,,,,I knew they were best suited to help me achieve my goals,,Agree,Color / Design,,,,Lightness,Maintenance / anti-pronation,,,,,,Neither agree nor disagree,Neither agree nor disagree,Totally Agree,Agree,1,0,23/02/2020 22:13,23/02/2020 22:17,3f5e48feb3
Young Professional,Male,u72zpn6jh320sp5jyj1judl3du72zpn6,Paris,I do not practice running,Sports Hall,Road,Trail,Track,Advanced,It helps me keep my mind and body in shape.,,I like to measure myself against others.,This helps me to improve my sex life.,"This helps me to focus on my diet, my nutrition and my hydration.",,This helps me to maintain a relationship with a loved one.,This helps me to improve my physical appearance.,,"I like to collect new equipment, clothes, shoes, etc.",,,,,I like to improve myself and learn new skills.,"I want to improve my performance (eg. Speed, distance, endurance).",I plan to run more often.,I need to replace old shoes.,I want to race.,"I set myself a goal of health, eg. losing weight.",,Running Shoes,Blblvl,,,Between 50 and 100 €,Totally Agree,Design / Style,,,Technology,Footwear / Comfort,Price,,I am not sure),Totally Agree,,,I knew other people like me had bought them,,,,I knew they were the most comfortable / provided the best footwear,A (e) ami (e) or even thought I had made the right choice,,,Totally Agree,,,Durability,,Lightness,,Bounce and cushioning,,,,,Totally Agree,Totally Agree,Totally Agree,Totally Agree,0,0,23/02/2020 22:15,23/02/2020 22:16,b747c3a245
Young Professional,Male,7tf5lw2jrjd8z58lbn7tf5lw3sqmkvlz,Colmar,5 times a week or more,,Road,,,Advanced,It helps me keep my mind and body in shape.,,I like to measure myself against others.,,,,,This helps me to improve my physical appearance.,,,,,,,,"I want to improve my performance (eg. Speed, distance, endurance).",,I need to replace old shoes.,,,,Running Shoes,Light,Comfortable,Dynamic,Between 150 and 200 €,Agree,,,,Technology,Footwear / Comfort,,"Benefits (eg. Speed, movement and comfort)",,Agree,,,,,It was clear that they corresponded best to my needs,I had seen advertising / promotions / consumer reviews,,,I knew they were best suited to help me achieve my goals,,Agree,,,Durability,,Lightness,,,Price,,,,Totally Agree,Neither agree nor disagree,Disagree,Totally Agree,1,0,23/02/2020 21:47,23/02/2020 21:51,1fa75e21b5
