Segment,Sex,last_buy_shoes,run_frequency,where_run_1,where_run_2,where_run_3,where_run_4,running_experience,why_run_1,why_run_2,why_run_3,why_run_4,why_run_5,why_run_6,why_run_7,why_run_8,why_run_9,why_run_10,why_run_11,why_run_12,why_run_13,why_run_14,why_run_15,interest_buy_shoes_1,interest_buy_shoes_2,interest_buy_shoes_3,interest_buy_shoes_4,interest_buy_shoes_5,interest_buy_shoes_6,three_words_1,three_words_2,three_words_3,recent_spending,online_offline,online_search_1,online_search_2,online_search_3,online_search_4,online_search_5,online_search_6,where_usually,where_bought, most_important_choosing_1, most_important_choosing_2, most_important_choosing_3, most_important_choosing_4, most_important_choosing_5, most_important_choosing_6, most_important_choosing_7, most_important_choosing_8, most_important_choosing_9, most_important_choosing_10, most_important_choosing_11,confidence_right_shoes,more_confident_if_1,more_confident_if_2,more_confident_if_3,more_confident_if_4,more_confident_if_5,more_confident_if_6,more_confident_if_7,more_confident_if_8,more_confident_if_9,most_frustrating_online_1,most_frustrating_online_2,most_frustrating_online_3,most_frustrating_online_4,most_frustrating_online_5,most_frustrating_online_6,most_frustrating_online_7,most_frustrating_online_8,most_frustrating_online_9,most_frustrating_online_10,most_frustrating_online_11,most_frustrating_offline_1,most_frustrating_offline_2,most_frustrating_offline_3,most_frustrating_offline_4,most_frustrating_offline_5,most_frustrating_offline_6,most_frustrating_offline_7,most_frustrating_offline_8,most_frustrating_offline_9,most_frustrating_offline_10,most_frustrating_offline_11,most_frustrating_offline_12,most_frustrating_offline_13,need_expert_advice,age,occupation,parent
Mature Family,Male,4 to 6 months,I do not practice running,Sports Hall,,,,Beginner,It helps me keep my mind and body in shape.,,,,,,,,,,,,,,,,,,,"I set myself a goal of health, eg. losing weight.",,Comfort,cushioning,colour,Between 50 and 100 €,At the store,Searches Online,Visit store,,,,,"Multibrand store, eg. Go Sport and Decathlon","Multibrand store, eg. Go Sport and Decathlon",Color / Design,,,Shock absorption,,,,,Fit and comfort,,,Agree,,I knew they were good value for money,I knew other people like me had bought them,,,,,,,,,,,,,,,Limited product selection,,,,,,,,,,,,,,no frustration,,Agree,46-55 years,Employee,Yes
Mature Family,Female,4 to 6 months,1 to 2 times per week,,,Trail,,Intermediate,It helps me keep my mind and body in shape.,,,,,This helps me feel confident (e) and stronger (e).,,,,,,,,,,,I plan to run more often.,,,,,Flexible,light,cushioning,Between 100 and 150 €,At the store,,Visit store,,,,,"Multibrand store, eg. Go Sport and Decathlon","Multibrand store, eg. Go Sport and Decathlon",,,,Shock absorption,,,Bounce and cushioning,,,Adaptation to a given surface (eg. Track rather than road),,Agree,,,,I had a positive shopping experience this brand in the past,,,I knew they were the most comfortable,,,Differentiate between the different models of running shoes,,,,,,,,,,,,Differentiate between different brands of running shoes,,Making the difference between products with different prices,Staff poor knowledge about products,,,,,,,,,Strongly Agree,37-45 years,Employee,Yes
Mature Family,Female,More than 12 months,1 to 2 times per week,,Road,,,Intermediate,,,,,"This helps me to focus on my diet, my nutrition and my hydration.",,,,,"I like to collect new equipment, clothes, shoes, etc.",,,,,,,,,,"I set myself a goal of health, eg. losing weight.",,Comfort,-,cushioning,Between 100 and 150 €,At the store,,,,,no research,,no preference,"Store brand, eg. Nike",,,,,Lightness,,Bounce and cushioning,,,Adaptation to a given surface (eg. Track rather than road),,Disagree,,,,,,I had seen advertising / promotions / consumer reviews,,,,Differentiate between the different models of running shoes,,,Making the difference between products with different prices,,Differences in language different websites in terms of product description,,,,,,,Differentiate between different brands of running shoes,Finding a suitable product for my personal needs,,,Presentation of unclear shoes,,,,,,,,Strongly Agree,37-45 years,Employee,Yes
Mature Family,Female,0 to 3 months,1 to 2 times per month,,,,Track,Beginner,It helps me keep my mind and body in shape.,This helps me to avoid getting sick and staying healthy.,,,,,,This helps me to improve my physical appearance.,,,,,,,,,I plan to run more often.,,,"I set myself a goal of health, eg. losing weight.",,Cushioning,,,Between 50 and 100 €,At the store,,Visit store,,,,,"Multibrand store, eg. Go Sport and Decathlon","Multibrand store, eg. Go Sport and Decathlon",,,,Shock absorption,Lightness,,Bounce and cushioning,,,,,Agree,,,,,It was clear that they corresponded best to my needs,,,,,,,Finding a suitable product for my personal needs,,Identify running shoes compared with running shoes,Differences in language different websites in terms of product description,,,,,,Differentiate between the different models of running shoes,Differentiate between different brands of running shoes,,,,,,,,,,,,Neither agree nor disagree,46-55 years,Employee,Yes
Empty Nesters,Male,7 to 12 months,5 times a week or more,,Road,,,Beginner,,This helps me to avoid getting sick and staying healthy.,,,,,,,,,,,,,,,,I need to replace old shoes.,,,,Comfortable,cheaper,durable,<50 €,At the store,,,,,no research,,"Multibrand store, eg. Go Sport and Decathlon","Multibrand store, eg. Go Sport and Decathlon",,,Durability,,,,,Price,Fit and comfort,,,Agree,,I knew they were good value for money,I knew other people like me had bought them,I had a positive shopping experience this brand in the past,,,,,I knew they were best suited to help me achieve my goals,,,,,,,,,,,I have never made an online purchase,,Differentiate between different brands of running shoes,,Making the difference between products with different prices,Staff poor knowledge about products,,,,,Limited product selection,,,,Strongly Agree,55+,Employee,Yes
Full Time Student,Male,More than 12 months,1 to 2 times per week,Sports Hall,,,,Beginner,It helps me keep my mind and body in shape.,This helps me to avoid getting sick and staying healthy.,,This helps me to improve my sex life.,,,,This helps me to improve my physical appearance.,,,,,,,,,I plan to run more often.,I need to replace old shoes.,,,,Comfortable,nice,looking,Between 50 and 100 €,At the store,,,,,no research,,"Multibrand store, eg. Go Sport and Decathlon","Multibrand store, eg. Go Sport and Decathlon",,,Durability,,,,,Price,Fit and comfort,,,Strongly Agree,,I knew they were good value for money,,,,,,,,,,Finding a suitable product for my personal needs,,,,,Too many options to choose from,,,,,,,,,Presentation of unclear shoes,,,,,,,,Neither agree nor disagree,16-22 years,Student,No
Empty Nester,Female,More than 12 months,1 to 2 times per week,,Road,,Track,Intermediate,It helps me keep my mind and body in shape.,This helps me to avoid getting sick and staying healthy.,I like to measure myself against others.,,,This helps me feel confident (e) and stronger (e).,,,,,,,,,,,,I need to replace old shoes.,,,,Lightness,support,robustness,Between 100 and 150 €,At the store,,,,,no research,,"Store brand, eg. Nike, Adidas","Store brand, eg. Nike",,,,,Lightness,Maintenance / anti-pronation,Bounce and cushioning,,,,,Neither agree nor disagree,,I knew they were good value for money,,,It was clear that they corresponded best to my needs,,,,,,,,,,,,,,,I buy very little online,,,,,,,,,,,,no frustration,,Agree,55+,Employee,Yes
Full Time Student,Female,4 to 6 months,1 to 2 times per week,,,,Track,Intermediate,It helps me keep my mind and body in shape.,This helps me to avoid getting sick and staying healthy.,,,"This helps me to focus on my diet, my nutrition and my hydration.",This helps me feel confident (e) and stronger (e).,,This helps me to improve my physical appearance.,,,I love discovering new environments.,This allows me to spend time with friends.,,,I like to improve myself and learn new skills.,"I want to improve my performance (eg. Speed, distance, endurance).",I plan to run more often.,I need to replace old shoes.,,,,Light,cushioning,comfortable,Between 50 and 100 €,At the store,,Visit store,Advice from friends or family members,research online and in-store visit,,,"Multibrand store, eg. Go Sport and Decathlon","Multibrand store, eg. Go Sport and Decathlon",,,,,Lightness,,Bounce and cushioning,Price,,,,Agree,,I knew they were good value for money,,,,,,,I knew they were best suited to help me achieve my goals,,,,,,,,,,,Not possible to try them on before buying them,Differentiate between the different models of running shoes,,,,,,,,,,,,,Strongly Agree,16-22 years,Student,No
Young Professional,Female,4 to 6 months,1 to 2 times per month,,Road,,Track,Beginner,It helps me keep my mind and body in shape.,,,,,,,,,,,,,,,,,I need to replace old shoes.,,,,Comfortable,light,cushioning,Between 50 and 100 €,At the store,Searches Online,,,,,,"Multibrand store, eg. Go Sport and Decathlon","Multibrand store, eg. Go Sport and Decathlon",,,,Shock absorption,,,,Price,Fit and comfort,,,Agree,,,,,,I had seen advertising / promotions / consumer reviews,,,,Differentiate between the different models of running shoes,Differentiate between different brands of running shoes,,,,,,,,,,,,,,,,,,,,Too many options to choose from,,,Agree,23-30 years,Employee,No
Mature Family,Male,7 to 12 months,3 to 4 times a week,,Road,,,Intermediate,,,,,,This helps me feel confident (e) and stronger (e).,,,,,,,,,I like to improve myself and learn new skills.,,,I need to replace old shoes.,,,,Sturdy,comfortable,effective,Between 50 and 100 €,At the store,,Visit store,,,,,"Multibrand store, eg. Go Sport and Decathlon","Multibrand store, eg. Go Sport and Decathlon",,,Durability,,,,Bounce and cushioning,Price,,,,Agree,,,,I had a positive shopping experience this brand in the past,,,,,,,,,,,,,,,,The size,,,,,Staff poor knowledge about products,,,,,,,,,Neither agree nor disagree,46-55 years,Employee,Yes
Mature Professional,Male,More than 12 months,1 to 2 times per month,,Road,,,Intermediate,It helps me keep my mind and body in shape.,,,,,,,This helps me to improve my physical appearance.,,,,,,,,,,I need to replace old shoes.,,,,Comfort,flexibility,robustness,Between 100 and 150 €,At the store,,,Advice from friends or family members,,,,no preference,"Store brand, eg. Nike",,,,Shock absorption,Lightness,Maintenance / anti-pronation,,,,,,Disagree,,,,,It was clear that they corresponded best to my needs,,,,,,,,Making the difference between products with different prices,,,,Too many options to choose from,Limited product selection,,,,,Finding a suitable product for my personal needs,,,,,,,Limited product selection,,,,Strongly Agree,55+,Employee,No
Mature Family,Male,4 to 6 months,1 to 2 times per week,,Road,,,Intermediate,,,,,,This helps me feel confident (e) and stronger (e).,,,,,,,,,,,,I need to replace old shoes.,,,,Comfort,sturdy,aesthetics,Between 50 and 100 €,Online,Searches Online,,,,,,"Multibrand store, eg. Go Sport and Decathlon","Multibrand store, eg. Go Sport and Decathlon",,,,,,,Bounce and cushioning,Price,,Adaptation to a given surface (eg. Track rather than road),,Agree,,,,,,,I knew they were the most comfortable,,,,,,Making the difference between products with different prices,,,,,,,,,,Finding a suitable product for my personal needs,,,,,,,,,,,Agree,37-45 years,Employee,Yes
Mature Family,Female,7 to 12 months,1 to 2 times per month,,Road,Trail,,Intermediate,It helps me keep my mind and body in shape.,,,,,This helps me feel confident (e) and stronger (e).,,,,,,,It's a way for me to contribute to a cause / charity which is of importance to me.,,,"I want to improve my performance (eg. Speed, distance, endurance).",I plan to run more often.,I need to replace old shoes.,I want to race.,,,Cushioning,flexibility,light,Between 50 and 100 €,At the store,,,,research online and in-store visit,,,"Multibrand store, eg. Go Sport and Decathlon","Multibrand store, eg. Go Sport and Decathlon",,Protection against injuries,,Shock absorption,,,Bounce and cushioning,,,,,Neither agree nor disagree,,,I knew other people like me had bought them,I had a positive shopping experience this brand in the past,It was clear that they corresponded best to my needs,,,,,Differentiate between the different models of running shoes,,,,,,,,Limited product selection,,,Differentiate between the different models of running shoes,,Finding a suitable product for my personal needs,,,,,No system / tool to choose the right pair of shoes,,,,,,Strongly Agree,46-55 years,Employee,Yes
Mature Professional,Female,0 to 3 months,1 to 2 times per week,,,,Track,Intermediate,It helps me keep my mind and body in shape.,This helps me to avoid getting sick and staying healthy.,,,,,,,,,,,,,,,I plan to run more often.,I need to replace old shoes.,,,,Light,-,flexible,Between 50 and 100 €,At the store,,Visit store,,,,,no preference,"Multibrand store, eg. Go Sport and Decathlon",,,,,Lightness,,Bounce and cushioning,,Fit and comfort,,,Agree,,I knew they were good value for money,,I had a positive shopping experience this brand in the past,,,I knew they were the most comfortable,,,,,,,,Differences in language different websites in terms of product description,,,Limited product selection,,,,,,,Staff poor knowledge about products,Presentation of unclear shoes,Not knowing exactly where to find the radius of running shoes,,,Limited product selection,,,,Strongly Agree,37-45 years,Employee,No
Mature Family,Male,7 to 12 months,1 to 2 times per week,,Road,,,Advanced,It helps me keep my mind and body in shape.,This helps me to avoid getting sick and staying healthy.,,,,,,This helps me to improve my physical appearance.,,,,,,,,,,I need to replace old shoes.,,,,Light,comfortable,cushioning,Between 100 and 150 €,At the store,,,,,,Salesperson,"Multibrand store, eg. Go Sport and Decathlon","Multibrand store, eg. Go Sport and Decathlon",,,,Shock absorption,Lightness,,,,Fit and comfort,,,Neither agree nor disagree,,,,I had a positive shopping experience this brand in the past,It was clear that they corresponded best to my needs,,,,,Differentiate between the different models of running shoes,,,,,,,,,,,Differentiate between the different models of running shoes,Differentiate between different brands of running shoes,,,Staff poor knowledge about products,,,,,,,,,Strongly Agree,46-55 years,Employee,Yes
Mature Family,Female,More than 12 months,1 to 2 times per week,,Road,Trail,,Intermediate,It helps me keep my mind and body in shape.,,,,,,,,,,I love discovering new environments.,,,,,,,I need to replace old shoes.,,,,Cushioning,support,comfort,Between 50 and 100 €,At the store,,,Advice from friends or family members,research online and in-store visit,,,"Store brand, eg. Nike, Adidas","Store brand, eg. Nike",,,,Shock absorption,,Maintenance / anti-pronation,,Price,,,,Agree,,,,I had a positive shopping experience this brand in the past,It was clear that they corresponded best to my needs,,,,,Differentiate between the different models of running shoes,,,,,,Product images will not have the advantages,,,,,,,,,Staff poor knowledge about products,,,,,Limited product selection,,,,Agree,46-55 years,Employee,Yes
Mature Family,Male,More than 12 months,3 to 4 times a week,Sports Hall,,,,Intermediate,It helps me keep my mind and body in shape.,This helps me to avoid getting sick and staying healthy.,,,,,,This helps me to improve my physical appearance.,,,,,,,,,I plan to run more often.,I need to replace old shoes.,,"I set myself a goal of health, eg. losing weight.",,Comfort,lightness,flexible,Between 100 and 150 €,At the store,,,,research online and in-store visit,,,"Multibrand store, eg. Go Sport and Decathlon","Multibrand store, eg. Go Sport and Decathlon",Color / Design,,,,Lightness,,,,Fit and comfort,,,Strongly Agree,,,,,,,I knew they were the most comfortable,,I knew they were best suited to help me achieve my goals,,,,,Identify running shoes compared with running shoes,,,,,,,,Differentiate between different brands of running shoes,,,,,,,,,,,,Strongly Agree,37-45 years,Employee,Yes
Mature Professional,Male,0 to 3 months,1 to 2 times per week,,Road,Trail,,Intermediate,It helps me keep my mind and body in shape.,,,,,,,,,,,,,,,"I want to improve my performance (eg. Speed, distance, endurance).",,I need to replace old shoes.,,,,Design,cushioning,reliability,Between 100 and 150 €,At the store,,,,research online and in-store visit,,,"Multibrand store, eg. Go Sport and Decathlon","Multibrand store, eg. Go Sport and Decathlon",,Protection against injuries,,,,,Bounce and cushioning,,Fit and comfort,,,Neither agree nor disagree,,,,,,,,,I knew they were best suited to help me achieve my goals,,,,,,,,,,no frustration,,,,Finding a suitable product for my personal needs,,Staff poor knowledge about products,,,,,Limited product selection,,,,Strongly Agree,37-45 years,Employee,No
Mature Family,Male,7 to 12 months,1 to 2 times per week,,Road,Trail,,Intermediate,It helps me keep my mind and body in shape.,This helps me to avoid getting sick and staying healthy.,I like to measure myself against others.,,"This helps me to focus on my diet, my nutrition and my hydration.",This helps me feel confident (e) and stronger (e).,,This helps me to improve my physical appearance.,,,,This allows me to spend time with friends.,It's a way for me to contribute to a cause / charity which is of importance to me.,I like to stay abreast of news and trends.,I like to improve myself and learn new skills.,"I want to improve my performance (eg. Speed, distance, endurance).",I plan to run more often.,I need to replace old shoes.,I want to race.,"I set myself a goal of health, eg. losing weight.",,Cushioning,comfort,and,Between 50 and 100 €,At the store,,Visit store,,research online and in-store visit,,,"Multibrand store, eg. Go Sport and Decathlon","Multibrand store, eg. Go Sport and Decathlon",,,,,,,Bounce and cushioning,Price,Fit and comfort,,,Agree,,I knew they were good value for money,,I had a positive shopping experience this brand in the past,,I had seen advertising / promotions / consumer reviews,,,I knew they were best suited to help me achieve my goals,,,,,,,,,,,I don't buy shoes online,,Differentiate between different brands of running shoes,Finding a suitable product for my personal needs,Making the difference between products with different prices,,,,,,,,no frustration,,Strongly Agree,37-45 years,Employee,Yes
Young Professional,Female,More than 12 months,I do not practice running,,Road,,Track,Beginner,It helps me keep my mind and body in shape.,,,,,This helps me feel confident (e) and stronger (e).,,This helps me to improve my physical appearance.,,,I love discovering new environments.,,,,I like to improve myself and learn new skills.,,I plan to run more often.,I need to replace old shoes.,,,,Comfort,durability,,<50 €,At the store,,,,research online and in-store visit,,,"Multibrand store, eg. Go Sport and Decathlon","Multibrand store, eg. Go Sport and Decathlon",,,,,Lightness,,,Price,Fit and comfort,,,Neither agree nor disagree,,I knew they were good value for money,,,,I had seen advertising / promotions / consumer reviews,,,,Differentiate between the different models of running shoes,,Finding a suitable product for my personal needs,Making the difference between products with different prices,,,,,,,,,Differentiate between different brands of running shoes,,,,,,,,,,,,Strongly Agree,23-30 years,Employee,No
Mature Family,Female,4 to 6 months,1 to 2 times per week,,Road,,,Intermediate,It helps me keep my mind and body in shape.,,I like to measure myself against others.,,,,,This helps me to improve my physical appearance.,,,,,,,I like to improve myself and learn new skills.,"I want to improve my performance (eg. Speed, distance, endurance).",I plan to run more often.,I need to replace old shoes.,,,,Cushioning,stability,and,Between 50 and 100 €,At the store,,,,research online and in-store visit,,,no preference,"Multibrand store, eg. Go Sport and Decathlon",,,,,,,Bounce and cushioning,Price,,Adaptation to a given surface (eg. Track rather than road),,Agree,,,,I had a positive shopping experience this brand in the past,It was clear that they corresponded best to my needs,I had seen advertising / promotions / consumer reviews,,,,,,,,,,,,,no frustration,,,Differentiate between different brands of running shoes,,,Staff poor knowledge about products,Presentation of unclear shoes,,No system / tool to choose the right pair of shoes,,,,,,Agree,46-55 years,Woman / Husband,Yes
Mature Family,Male,More than 12 months,1 to 2 times per month,Sports Hall,,,,Intermediate,,,,,"This helps me to focus on my diet, my nutrition and my hydration.",,,,,,,,,,,,,I need to replace old shoes.,,,,Lightness,comfort,price,Between 50 and 100 €,At the store,,Visit store,,,,,"Multibrand store, eg. Go Sport and Decathlon","Multibrand store, eg. Go Sport and Decathlon",,,,Shock absorption,Lightness,,,Price,,,,Agree,,,,,,I had seen advertising / promotions / consumer reviews,,,,Differentiate between the different models of running shoes,,,,,,,,,,,,,,,Staff poor knowledge about products,,,,,,,,,Strongly Agree,46-55 years,Employee,Yes
